time,highly fluid,fluid,dense,highly dense,congestion,closed
2020-03-01 00:00:51,210,74,7,1,0,0
2020-03-01 00:05:54,204,74,5,0,1,0
2020-03-01 00:10:51,208,76,7,0,2,0
2020-03-01 00:15:51,210,80,5,1,0,0
2020-03-01 00:20:50,206,75,8,0,0,0
2020-03-01 00:25:52,217,74,1,0,0,0
2020-03-01 00:30:54,207,74,2,0,0,0
2020-03-01 00:35:55,210,61,6,0,1,0
2020-03-01 00:40:51,201,65,1,2,1,0
2020-03-01 00:45:55,210,64,2,1,1,0
2020-03-01 00:50:51,205,61,3,0,1,0
2020-03-01 00:55:52,197,59,2,0,0,0
2020-03-01 01:00:52,189,54,2,1,0,0
2020-03-01 01:05:52,199,52,2,1,0,0
2020-03-01 01:10:51,221,40,2,2,1,0
2020-03-01 01:15:55,215,37,3,2,1,0
2020-03-01 01:20:52,211,36,4,0,1,0
2020-03-01 01:25:56,196,35,2,2,0,0
2020-03-01 01:30:58,193,26,2,3,1,0
2020-03-01 01:35:56,189,26,3,1,0,0
2020-03-01 01:40:51,198,23,2,0,1,0
2020-03-01 01:45:50,194,23,3,0,0,0
2020-03-01 01:50:54,189,21,2,0,0,0
2020-03-01 01:55:53,192,22,2,0,0,0
2020-03-01 02:00:51,181,29,2,0,1,0
2020-03-01 02:05:53,158,22,0,1,1,0
2020-03-01 02:10:51,178,14,0,0,2,0
2020-03-01 02:15:50,175,16,0,1,0,0
2020-03-01 02:20:52,170,15,1,0,0,0
2020-03-01 02:25:52,169,14,1,0,0,0
2020-03-01 02:30:51,158,15,2,0,0,0
2020-03-01 02:35:52,131,17,0,0,0,0
2020-03-01 02:40:52,164,13,0,0,0,0
2020-03-01 02:45:51,152,9,2,1,1,0
2020-03-01 02:50:51,140,15,2,2,1,0
2020-03-01 02:55:52,142,13,4,1,0,0
2020-03-01 03:00:52,143,15,4,1,0,0
2020-03-01 03:05:50,139,22,1,1,0,0
2020-03-01 03:10:51,146,17,1,0,1,0
2020-03-01 03:15:52,152,9,0,2,2,0
2020-03-01 03:20:51,140,12,1,0,0,0
2020-03-01 03:25:52,132,13,0,0,0,0
2020-03-01 03:30:50,131,18,0,0,0,0
2020-03-01 03:35:51,132,14,0,0,0,0
2020-03-01 03:40:51,130,13,0,0,0,0
