time,highly fluid,fluid,dense,highly dense,congestion,closed
2020-03-01,46855,33215,2888,703,291,52
2020-03-02,24127,48810,8367,2798,1194,44
2020-03-03,23836,48824,8031,2665,1007,40
2020-03-04,23838,50265,8641,2725,1079,50
2020-03-05,23799,49351,9555,3241,1370,59
2020-03-06,23669,52101,9633,3512,1368,256
2020-03-07,36613,39241,4409,1597,597,420
2020-03-08,42473,26932,3365,1429,807,1122
2020-03-09,24120,47444,7000,2575,1105,54
2020-03-10,24274,48637,8410,2690,1013,92
2020-03-11,23553,44872,7354,2343,908,44
2020-03-12,24638,48076,7733,2704,1051,28
2020-03-13,28103,47953,5999,1627,598,50
2020-03-14,47763,15054,1251,540,150,0
2020-03-15,33158,5802,822,499,158,0
2020-03-16,11425,6461,436,131,41,0
